
S. No.,State,District,Location,Longitude,Latitude,Year,pH,EC (µS/cm at),CO3 (mg/L),HCO3,Cl (mg/L),F (mg/L),SO4,NO3,PO4,Total Hardness,Ca (mg/L),Mg (mg/L),Na (mg/L),K (mg/L),Fe (ppm),As (ppb),U (ppb)
8476,Uttar Pradesh,Mainpuri,Yadav Nagar Gunhiya,79.0211,27.0317,2023,8.34,556,0,287,21,0.44,13,0,-,245,52,28,19,5,0.46,1.40,12.34
8477,Uttar Pradesh,Mainpuri,Bamnipur,79.1686,27.0330,2023,8.21,660,0,305,43,0.46,49,0,-,250,64,22,41,6,0.38,45.47,0.00
8478,Uttar Pradesh,Mainpuri,Block Office,79.2656,27.0316,2023,8.56,3252,108,1366,170,1.81,132,25,-,110,20,14,772,2,0.05,2.00,57.00
8479,Uttar Pradesh,Mainpuri,"Near Katra Saman Chauraha, Shiv",79.1982,27.0305,2023,8.40,1957,48,671,107,1.65,222,14,-,260,32,43,373,7,0.09,1.66,41.53
8480,Uttar Pradesh,Mainpuri,Nagariya,79.0239,27.1467,2023,8.25,841,0,403,43,1.19,47,0,-,260,36,41,77,5,0.08,0.00,35.32
8481,Uttar Pradesh,Mainpuri,Nagla Ramsingh,78.8766,27.1511,2023,8.19,870,0,439,28,0.48,51,0,-,360,88,34,50,5,1.15,1.23,11.20
8482,Uttar Pradesh,Mathura,Block H.Q,77.8200,27.4114,2023,8.54,1728,36,549,156,4.80,151,49,0.00,250,20,48,305,11,0.05,0.00,25.00
8483,Uttar Pradesh,Mathura,Block H.Q,77.5793,27.6208,2023,8.40,3675,24,281,936,4.40,150,110,0.00,720,84,122,505,1,0.63,0.00,12.00
8484,Uttar Pradesh,Mathura,Ajnokh,77.4105,27.6734,2023,7.70,7471,0,415,1553,0.10,900,8,0.00,1810,196,320,860,29,0.00,0.00,11.97
8485,Uttar Pradesh,Mathura,Baroli,77.5793,27.6745,2023,8.38,1710,12,378,177,1.85,230,0,0.00,270,36,44,265,2,0.32,1.76,21.82
8486,Uttar Pradesh,Mathura,Block H.Q,77.5008,27.7262,2023,8.33,7482,30,695,1106,3.50,1523,54,0.00,2030,76,442,900,16,0.23,0.00,100.00
8487,Uttar Pradesh,Mathura,Jatwari,77.5739,27.5739,2023,8.45,4356,24,537,596,3.70,800,17,0.00,540,44,104,780,6,0.10,1.02,25.80
8488,Uttar Pradesh,Mathura,Karahari,77.5615,27.7604,2023,8.44,1772,36,390,184,3.10,165,19,0.00,320,36,56,245,4,0.11,0.00,22.68
8489,Uttar Pradesh,Mathura,Umaraya,77.4742,27.6654,2023,8.47,9220,48,390,2198,2.40,880,0,0.00,2210,104,473,1140,8,0.35,0.00,15.10
8490,Uttar Pradesh,Mathura,Panigaon Khader,77.7583,27.5952,2023,8.20,484,0,220,7,1.60,37,0,0.00,150,24,22,43,2,0.00,1.95,11.66
8491,Uttar Pradesh,Mathura,Block H.Q,77.7161,27.6307,2023,7.98,2977,0,561,355,0.63,431,15,0.00,450,60,72,459,34,0.45,0.00,26.00
8492,Uttar Pradesh,Mathura,Block H.Q,77.3848,27.7165,2023,7.48,34180,0,2428,5672,2.10,5981,21,0.00,4400,524,742,4240,2895,0.71,0.00,0.00
8493,Uttar Pradesh,Mathura,Kamai,77.4336,27.6324,2023,8.49,3583,36,451,539,2.05,530,0,0.00,460,36,90,590,35,0.07,0.00,21.13
8494,Uttar Pradesh,Mathura,Puthari,77.3194,27.7575,2023,8.52,2229,36,317,277,2.65,335,8,0.00,410,44,73,320,5,0.10,0.00,20.32
8495,Uttar Pradesh,Mathura,Block H.Q,77.6495,27.8458,2023,8.01,5541,0,378,886,0.28,571,19,0.00,1040,120,178,545,5,0.44,0.00,32.00
8496,Uttar Pradesh,Mathura,Nankpur Khader,77.5796,27.8945,2023,8.12,6621,0,512,794,0.92,1200,730,0.00,1470,124,282,620,500,0.29,0.00,27.36
8497,Uttar Pradesh,Mathura,Surir,77.7207,27.7687,2023,8.20,4805,0,317,610,0.78,1200,22,0.00,940,96,170,700,22,0.21,0.00,25.67
8498,Uttar Pradesh,Mathura,Block H.Q,77.7848,27.5495,2023,8.25,4677,0,647,1028,2.10,394,22,0.00,560,52,103,825,7,0.24,0.00,20.00
8499,Uttar Pradesh,Mathura,Gaiyara,77.7989,27.5890,2023,7.96,4581,0,464,858,0.38,500,26,0.00,780,120,116,700,6,0.24,0.00,8.30
8500,Uttar Pradesh,Mathura,Lohaban,77.7265,27.4977,2023,8.44,1050,24,293,71,0.94,72,17,0.00,280,40,44,100,3,0.00,0.00,11.48
8501,Uttar Pradesh,Mathura,Nagla Karan,77.8282,27.5325,2023,8.05,7425,0,390,1354,0.83,1300,70,0.00,1800,164,337,920,19,0.15,0.00,17.39
8502,Uttar Pradesh,Mathura,Thok Bindavani,77.9041,27.5697,2023,8.56,1732,36,561,85,2.40,175,24,0.00,380,40,68,224,5,0.00,0.00,76.00
8503,Uttar Pradesh,Maunath,Hanumanganj,83.4254,26.1414,2023,8.01,444,0,256,7,0.34,0,0,0.00,200,52,17,9,1,3.94,0.00,0.00
8504,Uttar Pradesh,Maunath,Mau Kuber,83.7070,25.9653,2023,7.81,841,0,464,14,0.38,8,6,0.00,290,48,41,56,4,0.14,0.00,15.83
8505,Uttar Pradesh,Maunath Bhanjan,Block Office,83.5111,26.1806,2023,7.77,1027,0,512,50,0.66,11,6,0.00,440,52,74,32,3,0.19,0.00,14.00
8506,Uttar Pradesh,Maunath Bhanjan,Block Office,83.5094,26.2678,2023,7.86,622,0,342,14,0.42,9,0,0.00,270,40,41,17,4,4.17,4.00,0.00
8507,Uttar Pradesh,Meerut,In Block Office,77.7142,29.1206,2023,7.82,973,0,415,71,0.72,64,13,0.00,360,100,27,77,8,0.11,0.00,5.00
8508,Uttar Pradesh,Meerut,In Kodhi Ashram,77.6981,29.0591,2023,8.00,666,0,366,14,0.45,10,5,0.00,210,40,27,56,7,0.00,0.00,3.08
8509,Uttar Pradesh,Meerut,In Block Office,77.9964,29.1569,2023,7.76,875,0,342,71,0.41,47,65,0.00,320,64,39,62,9,0.07,0.00,22.00
8510,Uttar Pradesh,Meerut,,77.9657,29.0563,2023,7.93,504,0,256,14,0.00,24,9,0.00,225,60,18,11,4,0.06,1.30,0.00
8511,Uttar Pradesh,Meerut,In Block Office,77.5608,28.9639,2023,7.93,528,0,268,7,1.00,32,13,0.00,230,54,23,14,5,0.06,0.00,15.00
8512,Uttar Pradesh,Meerut,In Block Office,77.7439,28.8400,2023,7.99,1552,0,598,163,1.60,48,67,0.00,570,78,91,128,8,0.00,0.00,18.00
8513,Uttar Pradesh,Meerut,In Block Office,77.8914,28.8925,2023,8.05,729,0,439,7,0.51,11,7,0.00,265,57,30,59,7,5.57,0.00,14.00
8514,Uttar Pradesh,Meerut,In Block Office,77.8553,29.0958,2023,8.04,595,0,342,7,0.68,28,10,0.00,280,61,31,12,9,0.12,2.00,9.00
8515,Uttar Pradesh,Meerut,Satish House,77.8223,29.1866,2023,7.74,425,0,232,7,0.28,24,0,0.00,185,42,19,16,5,0.00,0.00,7.91
8516,Uttar Pradesh,Meerut,In Block Office,77.6881,28.9692,2023,7.98,805,0,403,35,0.37,38,11,0.00,320,71,35,53,7,0.15,0.00,28.00
8517,Uttar Pradesh,Meerut,,77.6862,28.9081,2023,8.22,895,0,500,21,0.19,30,15,0.00,170,32,22,145,8,0.12,0.00,0.00
8518,Uttar Pradesh,Meerut,Awasiya Gate,77.7408,28.9649,2023,7.77,627,0,268,50,0.31,32,17,0.00,175,36,21,66,5,0.29,0.00,5.40
8519,Uttar Pradesh,Meerut,Choudary Niwash,77.6684,28.9939,2023,7.69,785,0,390,50,0.13,27,0,0.00,235,38,34,88,6,1.06,0.00,0.00
8520,Uttar Pradesh,Meerut,Din Dayal House,77.6520,28.9038,2023,7.83,1210,0,561,64,0.38,43,19,0.00,330,60,44,122,9,0.00,0.00,29.22
8521,Uttar Pradesh,Meerut,Dinesh House,77.7407,28.9506,2023,7.95,677,0,281,57,0.14,34,0,0.00,220,46,26,49,6,0.18,0.00,7.05
8522,Uttar Pradesh,Meerut,In Side Balajee Temple,77.6572,28.9433,2023,7.78,1375,0,659,78,1.50,45,24,0.00,260,40,39,220,7,0.00,0.00,0.00
8523,Uttar Pradesh,Meerut,Khadoli Chock,77.6544,28.9851,2023,8.15,540,0,293,14,0.62,27,0,0.00,220,48,24,30,6,0.00,0.00,5.20
8524,Uttar Pradesh,Meerut,Lalsana Chouraha,77.7255,29.0473,2023,7.71,726,0,244,35,0.21,75,85,0.00,300,46,45,43,6,0.57,0.00,9.97
8525,Uttar Pradesh,Meerut,Mangalpuri,77.6740,29.0222,2023,7.61,687,0,378,21,0.00,33,0,0.00,225,42,29,67,7,2.48,0.00,35.55
8526,Uttar Pradesh,Meerut,Meerut Cant,77.7206,29.0035,2023,8.04,845,0,451,28,0.30,32,18,0.00,300,52,41,73,6,0.00,0.00,5.81
8527,Uttar Pradesh,Meerut,Meerut Cant,77.6973,29.0056,2023,7.95,1017,0,464,43,0.89,48,28,0.00,340,68,41,85,8,0.20,0.00,11.55
8528,Uttar Pradesh,Meerut,Near Anand Bhawan Inside Shashtri,77.7269,28.9479,2023,8.12,1143,0,427,113,0.45,60,16,0.00,330,84,29,105,7,0.00,0.00,0.00
8529,Uttar Pradesh,Meerut,Near Azi Hanif In House,77.7260,28.9279,2023,7.76,2076,0,317,291,0.17,152,140,0.00,415,84,50,245,7,0.18,0.00,0.00
8530,Uttar Pradesh,Meerut,Near Mazar,77.6715,29.0488,2023,7.52,763,0,390,35,0.20,41,0,0.00,195,42,22,101,6,3.56,0.00,17.98
8531,Uttar Pradesh,Meerut,Near Satbir House,77.6372,28.9709,2023,8.09,595,0,317,21,0.59,24,6,0.00,200,44,22,56,5,0.97,0.00,11.02
8532,Uttar Pradesh,Meerut,Near Shish Mahal,77.6984,28.9421,2023,7.75,487,0,244,28,0.47,0,12,0.00,165,56,6,37,15,6.13,6.45,0.00
8533,Uttar Pradesh,Meerut,Near Swach Community Toilet,77.6991,28.9866,2023,7.88,637,0,329,28,0.30,28,5,0.00,240,50,28,47,6,2.24,0.00,16.64
8534,Uttar Pradesh,Meerut,New Meenakshi,77.7369,29.0178,2023,7.74,762,0,232,21,0.20,154,50,0.00,300,60,36,45,6,3.06,5.16,4.31
8535,Uttar Pradesh,Meerut,On Road Side,77.7216,28.9621,2023,7.84,925,0,415,43,0.76,55,39,0.00,290,84,19,98,6,0.00,0.00,14.23
8536,Uttar Pradesh,Meerut,On Rosd Side,77.6505,28.9177,2023,7.92,1023,0,293,170,0.70,21,14,0.00,280,40,44,103,8,0.00,0.00,29.22
8537,Uttar Pradesh,Meerut,On Sevice Road Side,77.6989,29.0450,2023,7.82,696,0,378,7,0.21,0,19,0.00,220,42,28,58,5,0.21,0.00,13.18
8538,Uttar Pradesh,Meerut,Out Side The Boundary Wall Of,77.6606,28.9633,2023,8.05,1050,0,525,35,0.93,48,14,0.00,280,60,32,125,7,0.00,0.00,0.00
8539,Uttar Pradesh,Meerut,Rohta Fatak,77.6758,28.9824,2023,7.64,1015,0,366,85,0.27,44,34,0.00,265,46,36,106,8,0.66,0.00,9.89
8540,Uttar Pradesh,Meerut,Shatabdi Nagar,77.6715,28.9404,2023,7.61,1217,0,464,106,0.29,19,110,0.00,290,32,51,167,9,0.21,0.00,13.54
8541,Uttar Pradesh,Meerut,Shiv Nageswar Temple,77.7159,29.0729,2023,7.78,538,0,293,7,0.22,33,0,0.00,185,36,23,48,6,1.58,0.00,9.40
8542,Uttar Pradesh,Meerut,Shobhapur,77.6486,29.0038,2023,8.14,443,0,244,7,0.66,25,0,0.00,210,48,22,8,7,0.09,0.00,14.63
8543,Uttar Pradesh,Meerut,Sofipur,77.7138,29.0284,2023,7.72,720,0,281,64,0.17,42,22,0.00,230,80,7,73,6,0.65,0.00,42.10
8544,Uttar Pradesh,Meerut,Zila Niwachan Office Gate,77.7165,28.9904,2023,7.88,731,0,305,43,0.46,42,23,0.00,240,42,33,64,7,0.15,0.00,10.49
8545,Uttar Pradesh,Meerut,,77.7534,29.0039,2023,7.71,777,0,317,64,0.32,38,28,0.00,280,56,34,65,6,0.28,0.00,7.37
8546,Uttar Pradesh,Meerut,In Block Office,77.9211,28.9786,2023,7.55,505,0,281,7,0.42,33,0,0.00,240,60,22,15,6,5.00,0.00,7.00
8547,Uttar Pradesh,Meerut,In Block Office,77.8042,29.0503,2023,7.74,728,0,390,28,1.10,32,0,0.00,250,57,26,68,5,1.17,0.00,4.00
8548,Uttar Pradesh,Meerut,In Block Office,77.5425,29.0372,2023,7.64,965,0,586,14,0.71,19,7,0.00,270,36,44,117,8,0.50,0.00,68.00
8549,Uttar Pradesh,Meerut,In Block Office,77.8553,29.0958,2023,7.86,1435,0,427,156,0.90,59,114,0.00,508,78,76,99,26,0.34,0.00,39.00
8550,Uttar Pradesh,Meerut,In Block Office,77.5425,29.1419,2023,7.64,725,0,427,7,0.71,16,30,0.00,320,36,56,27,7,0.44,0.00,18.00
8551,Uttar Pradesh,Mirzapur,Akorhi,82.4551,25.1713,2023,8.04,964,0,390,78,0.50,40,45,0.00,360,24,53,68,3,1.82,0.00,3.99
8552,Uttar Pradesh,Mirzapur,Ragayipur,82.3498,25.1645,2023,8.10,688,0,415,14,0.70,8,0,0.00,290,36,48,37,4,0.40,1.59,11.11
8553,Uttar Pradesh,Mirzapur,Chhanbey (Gaigpura),82.3939,25.1272,2023,7.97,1586,0,647,92,0.90,61,57,0.00,280,28,50,226,0,0.66,0.00,10.00
8554,Uttar Pradesh,Mirzapur,Halia,82.3350,24.8206,2023,7.74,566,0,195,50,0.84,25,32,0.00,240,68,17,18,2,0.45,0.00,0.00
8555,Uttar Pradesh,Mirzapur,Baskop,82.1389,24.8226,2023,7.82,615,0,360,14,0.36,0,13,0.00,115,28,11,99,2,0.32,0.00,37.60
8556,Uttar Pradesh,Mirzapur,Dewari,82.3354,24.6515,2023,8.00,428,0,183,28,0.52,28,0,0.00,160,36,14,27,2,0.71,1.25,0.00
8557,Uttar Pradesh,Mirzapur,Songarha,82.2706,24.7287,2023,8.16,1310,0,512,170,0.81,0,0,0.00,90,8,17,260,9,0.30,23.89,0.00
8558,Uttar Pradesh,Mirzapur,Block Office,83.0875,25.1583,2023,7.80,712,0,317,50,0.92,19,6,0.00,280,68,26,34,2,0.00,0.00,4.00
8559,Uttar Pradesh,Mirzapur,Jamalpur,83.0875,25.1583,2023,7.80,712,0,317,50,0.92,19,6,0.00,280,68,26,34,2,0.00,0.00,4.00
8560,Uttar Pradesh,Mirzapur,Patti Kalan,83.0245,25.0027,2023,7.90,783,0,293,78,0.16,52,20,0.00,260,44,36,74,2,0.00,0.00,0.00
8561,Uttar Pradesh,Mirzapur,Kantit,82.5078,25.1545,2023,7.74,839,0,378,71,0.50,10,28,0.00,290,52,38,68,2,0.38,0.00,4.59
8562,Uttar Pradesh,Mirzapur,Kon (Chilh),82.5511,25.1706,2023,7.80,767,0,451,7,0.72,0,0,0.00,280,88,14,46,3,5.02,35.00,0.00
8563,Uttar Pradesh,Mirzapur,Bami,82.4538,25.0535,2023,7.69,597,0,329,21,0.70,10,19,0.00,210,68,10,54,0,0.31,0.00,4.28
8564,Uttar Pradesh,Mirzapur,Boda Khurd,82.4584,24.8993,2023,7.70,250,0,116,7,0.25,7,12,0.00,90,40,7,12,2,0.00,0.00,0.00
8565,Uttar Pradesh,Mirzapur,Satpedi,82.2972,25.0049,2023,7.74,680,0,378,28,0.48,0,0,0.00,150,28,19,94,0,0.00,0.00,4.38
8566,Uttar Pradesh,Mirzapur,Hardi Bowthi,82.5750,24.9987,2023,7.85,316,0,159,28,0.24,0,0,0.00,110,24,12,26,7,1.22,0.00,0.00
8567,Uttar Pradesh,Mirzapur,Jamui,82.7029,24.8854,2023,8.06,426,0,232,21,0.20,6,6,0.00,170,28,24,28,0,0.00,0.00,0.00
8568,Uttar Pradesh,Mirzapur,Nagar Mirzapur,82.5561,25.1200,2023,7.87,754,0,415,14,1.30,9,0,0.00,250,40,36,55,1,0.21,0.00,7.00
8569,Uttar Pradesh,Mirzapur,Chunar,83.0208,25.2000,2023,7.74,1349,0,451,156,0.56,56,16,0.00,400,60,60,117,5,0.12,2.00,13.00
8570,Uttar Pradesh,Mirzapur,Barji Mukundpur,82.6386,25.0735,2023,7.75,1102,0,415,135,0.90,24,21,0.00,170,36,19,186,0,0.13,0.00,3.53
8571,Uttar Pradesh,Mirzapur,Lahaura,82.7549,25.0151,2023,8.03,666,0,317,43,0.90,27,8,0.00,190,48,17,74,3,0.11,0.00,0.00
8572,Uttar Pradesh,Mirzapur,Pahari,82.7397,25.0847,2023,7.75,1330,0,512,106,0.86,33,51,0.00,290,52,38,166,0,0.00,0.00,6.00
8573,Uttar Pradesh,Mirzapur,Pahari,82.7395,25.0846,2023,7.76,1278,0,537,99,0.00,32,108,0.00,240,24,43,213,1,0.00,0.00,5.35
8574,Uttar Pradesh,Mirzapur,Pateha Kala,82.6119,25.0115,2023,7.65,392,0,122,43,0.22,21,17,0.00,120,48,0,33,2,3.84,0.00,0.00
8575,Uttar Pradesh,Mirzapur,Block Office,82.8369,24.8761,2023,7.72,349,0,122,35,0.78,14,14,0.00,130,32,12,19,2,0.00,0.00,0.00
8576,Uttar Pradesh,Mirzapur,Block Office,82.8369,24.8761,2023,7.72,349,0,122,35,0.78,14,14,0.00,130,32,12,19,2,0.00,0.00,0.00
8577,Uttar Pradesh,Mirzapur,Chaukia,82.9438,25.0794,2023,8.10,611,0,354,21,0.54,6,10,0.00,180,28,26,71,1,0.06,0.00,0.00
8578,Uttar Pradesh,Mirzapur,Jaugarh,82.8193,24.9851,2023,7.83,389,0,207,14,0.35,6,19,0.00,170,24,26,18,0,0.12,0.00,0.00
8579,Uttar Pradesh,Mirzapur,Rajgarh,82.8369,24.8761,2023,7.72,349,0,122,35,0.78,14,14,0.00,130,32,12,19,2,0.00,0.00,0.00
8580,Uttar Pradesh,Mirzapur,Sagaha,82.9570,24.9877,2023,7.65,483,0,244,35,0.34,7,0,0.00,200,40,24,28,2,1.03,0.00,0.00
8581,Uttar Pradesh,Moradabad,Block Office,78.7831,28.4618,2023,7.91,917,0,329,71,0.47,46,51,0.00,300,48,43,70,6,0.22,4.00,5.00
8582,Uttar Pradesh,Moradabad,Block Office,78.8268,28.9514,2023,7.62,347,0,195,14,0.42,0,0,0.00,150,40,12,15,2,2.10,12.00,0.00
8583,Uttar Pradesh,Moradabad,Block Office,78.7983,28.6096,2023,7.87,434,0,268,7,0.52,0,0,0.00,200,44,22,14,4,0.94,1.00,0.00
8584,Uttar Pradesh,Moradabad,Block Office,78.6333,28.9867,2023,7.90,412,0,244,7,0.28,6,0,0.00,180,44,17,14,3,1.77,18.00,4.00
8585,Uttar Pradesh,Moradabad,Pathanagi,78.5537,29.0595,2023,7.70,506,0,293,14,0.31,9,0,0.00,240,72,14,13,2,0.22,18.17,4.71
8586,Uttar Pradesh,Moradabad,Block Office,78.7879,28.6866,2023,7.90,850,0,354,78,0.25,49,0,0.00,330,40,55,50,13,9.37,4.00,7.00
8587,Uttar Pradesh,Moradabad,Faridpur Hazi,78.8428,29.0631,2023,7.50,1342,0,598,92,0.32,51,0,0.00,495,20,107,83,2,10.02,0.00,0.00
8588,Uttar Pradesh,Moradabad,Naronda,78.7002,28.6821,2023,7.71,649,0,256,64,0.51,26,0,0.00,225,44,28,43,8,3.98,13.04,6.43
8589,Uttar Pradesh,Moradabad,Block Office,78.8797,28.8231,2023,7.92,349,0,153,35,0.30,5,0,0.00,140,40,10,18,3,2.76,23.00,0.00
8590,Uttar Pradesh,Moradabad,Manoharpur,78.7062,28.8144,2023,7.90,240,0,195,7,0.60,8,0,0.00,140,32,14,15,4,0.17,9.75,0.00
8591,Uttar Pradesh,Moradabad,Block Office,78.5795,28.4835,2023,7.94,351,0,195,14,0.56,5,0,0.00,160,36,17,10,3,0.37,0.00,5.00
8592,Uttar Pradesh,Moradabad,Bahpur,78.6901,29.2007,2023,7.70,562,0,342,14,0.39,0,0,0.00,215,84,1,43,2,0.76,6.25,3.97
8593,Uttar Pradesh,Muzaffarnagar,In Block Office,77.4722,29.2897,2023,7.90,780,0,329,78,1.00,23,15,0.00,280,57,33,65,5,0.12,0.00,11.00
8594,Uttar Pradesh,Muzaffarnagar,In Road Side,77.4388,29.2848,2023,7.86,854,0,512,14,0.80,8,7,0.00,250,20,49,100,5,0.19,0.00,20.61
8595,Uttar Pradesh,Muzaffarnagar,In Road Side Engineering Work Shope,77.4788,29.2857,2023,8.09,698,0,317,57,0.86,23,0,0.00,180,32,24,89,5,2.69,0.00,10.15
8596,Uttar Pradesh,Muzaffarnagar,Near Kishan Briks,77.4623,29.2935,2023,7.98,478,0,293,14,0.47,0,0,0.00,200,40,24,25,3,0.76,0.00,13.08
8597,Uttar Pradesh,Muzaffarnagar,Near Temple,77.4969,29.2990,2023,7.75,622,0,342,21,0.39,10,14,0.00,130,24,17,96,5,0.50,0.00,16.20
8598,Uttar Pradesh,Muzaffarnagar,In Block Office,77.5856,29.5458,2023,7.86,315,0,171,7,1.00,17,0,0.00,130,29,14,14,4,3.37,2.00,0.00
8599,Uttar Pradesh,Muzaffarnagar,Near Pump House,77.6729,29.5624,2023,7.67,721,0,415,7,0.00,17,15,0.00,300,32,54,31,8,0.71,0.00,3.63
8600,Uttar Pradesh,Muzaffarnagar,Bypass Road,77.9596,29.2951,2023,7.70,562,0,232,57,0.10,18,0,0.00,220,50,23,27,6,0.13,1.70,0.00
8601,Uttar Pradesh,Muzaffarnagar,In Block Office,77.8558,29.3303,2023,7.92,488,0,293,7,0.89,13,0,0.00,210,50,21,17,7,1.56,0.00,8.00
8602,Uttar Pradesh,Muzaffarnagar,In Block Office,77.7292,29.2669,2023,7.60,745,0,305,71,0.49,34,0,0.00,290,43,45,45,7,2.26,0.00,12.00
8603,Uttar Pradesh,Muzaffarnagar,Bhokarbedi,77.9359,29.5099,2023,7.39,951,0,451,57,0.00,28,10,0.00,380,78,45,53,9,0.00,0.00,0.00
8604,Uttar Pradesh,Muzaffarnagar,Dhara Singh House,77.8259,29.4316,2023,8.02,464,0,220,28,0.14,30,0,0.00,205,46,22,15,5,1.56,1.28,6.75
8605,Uttar Pradesh,Muzaffarnagar,In Block Office,77.9450,29.4689,2023,7.75,595,0,293,21,0.38,37,23,0.00,290,43,45,12,4,0.46,0.00,0.00
8606,Uttar Pradesh,Muzaffarnagar,In Block Office,77.7219,29.4625,2023,8.01,428,0,244,7,0.93,23,0,0.00,195,36,26,13,4,0.82,1.00,7.00
8607,Uttar Pradesh,Muzaffarnagar,In Block Office,77.8389,29.6492,2023,7.04,418,0,232,14,0.50,20,0,0.00,200,32,29,10,4,0.49,3.00,8.00
8608,Uttar Pradesh,Muzaffarnagar,Ismile Auto Mobile,77.8441,29.6620,2023,7.62,400,0,195,14,0.29,20,0,0.00,160,28,22,13,5,0.98,0.00,9.90
8609,Uttar Pradesh,Muzaffarnagar,Near Rathi Electricals,77.8151,29.6301,2023,7.53,500,0,232,14,0.00,38,9,0.00,210,44,24,14,5,0.07,2.18,5.80
8610,Uttar Pradesh,Muzaffarnagar,On Bypass Road,77.8201,29.6557,2023,7.84,387,0,220,4,0.25,25,0,0.00,190,46,18,6,4,0.00,2.48,6.80
8611,Uttar Pradesh,Muzaffarnagar,Sanjivini Clinic,77.8475,29.6588,2023,7.91,416,0,220,7,0.38,23,0,0.00,175,40,18,13,3,0.00,0.00,4.42
8612,Uttar Pradesh,Muzaffarnagar,On Rosd Side,77.8253,29.5712,2023,7.83,415,0,220,7,0.18,24,0,0.00,205,50,19,6,4,1.10,1.88,29.96
8613,Uttar Pradesh,Muzaffarnagar,In Block Office,77.5517,29.3514,2023,7.88,398,0,232,7,0.99,12,0,0.00,170,29,24,21,4,0.13,0.00,5.00
8614,Uttar Pradesh,Pilibhit,Balliya,79.7139,28.8263,2023,7.82,577,0,268,28,0.34,16,0,0.00,225,60,18,18,2,2.94,4.44,0.00
8615,Uttar Pradesh,Pilibhit,Block Office,79.7281,28.7497,2023,8.38,500,24,201,7,0.38,18,0,0.00,210,36,29,14,3,0.67,8.00,0.00
8616,Uttar Pradesh,Pilibhit,Majhola,79.8813,28.8160,2023,8.29,612,0,342,14,0.42,9,0,0.00,230,48,26,44,3,0.45,10.82,0.00
8617,Uttar Pradesh,Pilibhit,Block Office,79.8067,28.4551,2023,8.12,588,0,268,14,0.17,38,0,0.00,260,40,38,12,4,0.86,16.00,4.00
8618,Uttar Pradesh,Pilibhit,Bhopatpur,79.8248,28.4567,2023,8.15,518,0,268,14,0.40,0,0,0.00,190,36,24,29,4,0.80,7.53,0.00
8619,Uttar Pradesh,Pilibhit,Galra Machuapur,79.8088,28.4786,2023,8.10,574,0,293,14,0.33,0,0,0.00,210,44,24,28,3,0.68,1.20,5.58
8620,Uttar Pradesh,Pilibhit,Ghazipur Kunda,79.7930,28.4673,2023,8.14,537,0,281,14,0.29,0,0,0.00,180,32,24,37,3,1.55,4.44,3.75
8621,Uttar Pradesh,Pilibhit,Mohammad Jamkhadia,79.8051,28.4370,2023,7.92,540,0,244,21,0.19,34,0,0.00,230,52,24,16,2,1.45,15.56,0.00
8622,Uttar Pradesh,Pilibhit,Paint Bojhi,79.9060,28.4347,2023,7.93,420,0,214,14,0.24,0,0,0.00,180,44,17,10,3,2.30,4.24,0.00
8623,Uttar Pradesh,Pilibhit,Block Office,79.9411,28.2456,2023,7.99,400,0,177,21,0.38,13,0,0.00,180,48,14,6,4,0.00,0.00,0.00
8624,Uttar Pradesh,Pilibhit,Block Office,79.8151,28.2872,2023,8.26,512,0,268,14,0.23,0,0,0.00,220,48,24,12,3,0.56,9.00,0.00
8625,Uttar Pradesh,Pilibhit,Churra Sakatpur,79.7193,28.3033,2023,8.20,400,0,183,14,0.23,24,0,0.00,140,36,12,26,2,0.77,0.00,0.00
8626,Uttar Pradesh,Pilibhit,Block Office,79.7567,28.6087,2023,7.91,804,0,415,21,0.16,21,0,0.00,240,36,36,68,4,0.96,2.00,0.00
8627,Uttar Pradesh,Pilibhit,Mathana,80.0082,28.6417,2023,8.42,547,6,287,7,0.14,21,0,0.00,270,64,26,5,9,0.34,5.93,4.53
8628,Uttar Pradesh,Pilibhit,Sarai Sunderpur,79.8698,28.5735,2023,8.08,360,0,195,7,0.30,7,0,0.00,160,36,17,8,3,1.53,3.14,0.00
8629,Uttar Pradesh,Pilibhit,Block Office,79.8190,28.6327,2023,8.28,509,0,268,14,0.31,0,0,0.00,230,36,34,8,4,0.69,2.00,0.00
8630,Uttar Pradesh,Pilibhit,"Adjacent To Gp Office, Madho Tanda",80.1224,28.6201,2023,8.20,1536,0,415,107,0.28,112,128,1.86,450,116,38,88,82,0.76,2.47,7.54
8631,Uttar Pradesh,Pilibhit,"Babanpur, Tila No.4",80.2897,28.7029,2023,7.69,532,0,299,7,0.17,0,0,0.00,250,56,26,4,7,2.63,0.00,0.00
8632,Uttar Pradesh,Pilibhit,Block Office,80.1506,28.5085,2023,7.80,501,0,189,36,0.33,31,0,0.00,190,44,19,26,3,0.44,2.00,0.00
8633,Uttar Pradesh,Pilibhit,Dhanara Ghat (Haripur Range),80.2975,28.5696,2023,7.75,508,0,262,7,0.14,11,0,0.00,215,44,25,7,4,0.34,5.81,0.00
8634,Uttar Pradesh,Pilibhit,"Purania T.Mahrajpur, Ssb Campus",80.1507,28.7052,2023,7.98,330,0,146,7,0.24,28,0,0.00,150,36,14,3,2,0.00,0.00,0.00
8635,Uttar Pradesh,Pilibhit,Raipur,80.0034,28.5732,2023,8.02,512,0,268,7,0.40,23,0,0.00,240,48,29,5,6,1.29,0.00,0.00
